id,populasyon,baslik,ana_bulgu,esleme,hekim_onayi,soru_sayisi,soru_metinleri,geri_bildirim
"case_pleural_rub","yetiskin","Plevral Frotman","pleural_rub","validated","beklemede","2","Duyduğunuz ses hangisidir? | Plevral frotmanın en ayırt edici özelliği nedir?","Plevral frotman: plevral yüzeylerin enflamasyonla sürtünmesinden doğan, iki fazlı, kaba sürtünme sesi. Hastanın tuttuğu yerde lokalize duyulur."
"case_tachycardia","yetiskin","Taşikardi","tachycardia","validated","beklemede","2","Dinlediğiniz ritmi en iyi tanımlayan seçenek hangisidir? | Kalp hızı arttığında kalp siklusunun hangi bölümü önce kısalır?","Taşikardik ritim: düzenli ama hızlıdır; diastolik dolum süresi kısalır. Nedeni (ateş, anemi, ağrı, hipovolemi, aritmi) ayrıca değerlendirilmelidir."
"case_av_block","yetiskin","Atriyoveventriküler Blok","av_block","validated","beklemede","2","Dinlediğiniz bulgu hangisiyle en uyumludur? | İletim bozukluğunda kesin derecelendirme hangi yöntemle yapılır?","AV blokta P–QRS ilişkisi bozulur; oskültasyonda S1 şiddet değişkenliği ve aralık değişkenliği duyulabilir. Kesin tanı ve derecelendirme EKG ile yapılır."
"case_early_systolic_murmur","yetiskin","Erken Sistolik Üfürüm","early_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Üfürüm hangi zaman aralığında duyulur? | Bu vakanın kaydında üfürüm en belirgin hangi odakta alınmıştır? | Üfürümü değerlendirmek için Bell mi, Diyafram mı daha uygundur?","Erken sistolik üfürüm: S1 ile başlar, sistolün ilk yarısında söner. Zamanlama ve süre karakteristiktir."
"case_late_systolic_murmur","yetiskin","Geç Sistolik Üfürüm","late_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Geç sistolik üfürümün zamanlaması nasıldır? | Bu üfürüm bu vakanın kaydında hangi odakta alınmıştır? | Bu oskültasyon için Bell mi, Diyafram mı daha uygundur?","Geç sistolik üfürüm: S1'den sonra başlar, S2'ye doğru belirginleşir. Klik varlığı ayrıca değerlendirilir."
"case_late_diastolic_murmur","yetiskin","Geç Diyastolik (Presistolik) Üfürüm","late_diastolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu üfürüm kalp siklusunun hangi bölümünde duyulur? | Bu vakanın kaydında en belirgin alan hangisidir? | Düşük frekanslı presistolik üfürüm için hangi kafa daha uygundur?","Geç diyastolik (presistolik) üfürüm: S1'den hemen önce duyulur, S1 ile kesilir; düşük frekanslıdır ve bell ile daha iyi duyulur."
"case_mixed_msm_wheezing","yetiskin","Kombine: Üfürüm + Wheezing","mid_systolic_murmur+wheezing","educational_mapping","beklemede","3","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir? | Bu kombine kayıt hangi bölgeden alınmıştır?","Kombine kayıt: Orta sistolik üfürüm + Wheezing birlikte duyulur; iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"case_mixed_esm_coarse","yetiskin","Kombine: Üfürüm + Kaba Raller","early_systolic_murmur+coarse_crackles","educational_mapping","beklemede","3","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir? | Bu kombine kayıt hangi bölgeden alınmıştır?","Kombine kayıt: Erken sistolik üfürüm + Kaba raller birlikte duyulur; iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"case_mixed_s3_normal","yetiskin","Kombine: S3 + Normal Solunum","s3+normal","educational_mapping","beklemede","3","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir? | Bu kombine kayıt hangi bölgeden alınmıştır?","Kombine kayıt: S3 (üçüncü kalp sesi) + Normal solunum sesleri birlikte duyulur; iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"case_mixed_af_rhonchi","yetiskin","Kombine: Düzensiz Ritim + Ronküs","atrial_fibrillation+rhonchi","educational_mapping","beklemede","3","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir? | Bu kombine kayıt hangi bölgeden alınmıştır?","Kombine kayıt: Düzensiz düzensiz ritim (AF ile uyumlu) + Ronküs birlikte duyulur; iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"case_pediatric_normal_heart","pediatrik","Pediatrik Normal Kardiyak Oskültasyon","normal","validated","beklemede","3","Duyduğunuz ses hangisidir? | 6 yaş çocukta istirahat kalp hızı için beklenen aralık hangisidir? | Çocuklarda masum (innocent) üfürümler için doğru olanlar hangileridir?","Pediatrik normal kardiyak oskültasyon: S1–S2 düzenli, hız yaşa göre yüksek. Çocuklarda S3 fizyolojik olabilir; masum üfürümler sıktır."
"case_pediatric_wheezing","pediatrik","Pediatrik Wheezing (Obstrüktif Patern)","wheezing","validated","beklemede","2","Duyduğunuz ses hangisidir? | 3 yaşında beklenen istirahat solunum sayısı aralığı hangisidir?","Pediatrik wheezing: yaygın obstrüktif patern; küçük çocuklarda sık görülür. Tanı tek oskültasyonla konmaz; klinik bağlam gerekir."
"case_pediatric_innocent_murmur","pediatrik","Pediatrik Masum Üfürüm (Gerçek Pediatrik Kayıt)","early_systolic_murmur","validated","beklemede","4","Duyduğunuz üfürümün zamanlaması hangisidir? | Ateşli hastalıkta duyulan kısa sistolik üfürüm için en doğru yaklaşım hangisidir? | Gerçek pediatrik kayıt hangi odaktan alınmıştır? | Üfürüm değerlendirmesinde hangi kafa tercih edilir?","Pediatrik erken sistolik üfürüm: aort odağında gerçek hasta kaydı. Ateşli dönemde duyulan kısa sistolik üfürümler sık görülür; masum/patolojik ayrımı klinik bağlam ve gerekirse ileri tetkik ile yapılır."
"auto_heart_normal_aortic","yetişkin","Normal Kalp Sesleri — Aort odağı","normal","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Normal (veziküler) solunum sesi yumuşak, düşük frekanslı ve süreklidir; inspirasyon ekspiryumdan uzundur."
"auto_heart_normal_pulmonary","yetişkin","Normal Kalp Sesleri — Pulmoner odak","normal","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Normal (veziküler) solunum sesi yumuşak, düşük frekanslı ve süreklidir; inspirasyon ekspiryumdan uzundur."
"auto_heart_normal_tricuspid","yetişkin","Normal Kalp Sesleri — Triküspit odak","normal","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Normal (veziküler) solunum sesi yumuşak, düşük frekanslı ve süreklidir; inspirasyon ekspiryumdan uzundur."
"auto_heart_normal_mitral","yetişkin","Normal Kalp Sesleri — Mitral odak / Apeks","normal","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Normal (veziküler) solunum sesi yumuşak, düşük frekanslı ve süreklidir; inspirasyon ekspiryumdan uzundur."
"auto_heart_s3_pulmonary","yetişkin","S3 (Üçüncü Kalp Sesi) — Pulmoner odak","s3","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","S3 (üçüncü kalp sesi), erken diyastolde hızlı ventriküler dolum fazında duyulan düşük frekanslı ek sestir."
"auto_heart_s3_tricuspid","yetişkin","S3 (Üçüncü Kalp Sesi) — Triküspit odak","s3","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","S3 (üçüncü kalp sesi), erken diyastolde hızlı ventriküler dolum fazında duyulan düşük frekanslı ek sestir."
"auto_heart_s3_mitral","yetişkin","S3 (Üçüncü Kalp Sesi) — Mitral odak / Apeks","s3","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","S3 (üçüncü kalp sesi), erken diyastolde hızlı ventriküler dolum fazında duyulan düşük frekanslı ek sestir."
"auto_heart_s4_pulmonary","yetişkin","S4 (Dördüncü Kalp Sesi) — Pulmoner odak","s4","validated","beklemede","3","Duyduğunuz akustik bulgu hangisidir? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","S4 (dördüncü kalp sesi), geç diyastolde atriyal kontraksiyonla dolum sırasında oluşan düşük frekanslı presistolik sestir."
"auto_heart_early_systolic_murmur_aortic","yetişkin","Erken Sistolik Üfürüm — Aort odağı","early_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Erken sistolik üfürüm, S1'den hemen sonra başlayıp sistolün ilk yarısında söner."
"auto_heart_early_systolic_murmur_pulmonary","yetişkin","Erken Sistolik Üfürüm — Pulmoner odak","early_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Erken sistolik üfürüm, S1'den hemen sonra başlayıp sistolün ilk yarısında söner."
"auto_heart_early_systolic_murmur_tricuspid","yetişkin","Erken Sistolik Üfürüm — Triküspit odak","early_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Erken sistolik üfürüm, S1'den hemen sonra başlayıp sistolün ilk yarısında söner."
"auto_heart_early_systolic_murmur_mitral","yetişkin","Erken Sistolik Üfürüm — Mitral odak / Apeks","early_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Erken sistolik üfürüm, S1'den hemen sonra başlayıp sistolün ilk yarısında söner."
"auto_heart_mid_systolic_murmur_mitral","yetişkin","Orta Sistolik Üfürüm — Mitral odak / Apeks","mid_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Orta sistolik üfürüm, S1 ile S2 arasında duyulan ejecte tipi üfürümdür; sistolün ortasında yoğunlaşır."
"auto_heart_mid_systolic_murmur_pulmonary","yetişkin","Orta Sistolik Üfürüm — Pulmoner odak","mid_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Orta sistolik üfürüm, S1 ile S2 arasında duyulan ejecte tipi üfürümdür; sistolün ortasında yoğunlaşır."
"auto_heart_mid_systolic_murmur_tricuspid","yetişkin","Orta Sistolik Üfürüm — Triküspit odak","mid_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Orta sistolik üfürüm, S1 ile S2 arasında duyulan ejecte tipi üfürümdür; sistolün ortasında yoğunlaşır."
"auto_heart_mid_systolic_murmur_aortic","yetişkin","Orta Sistolik Üfürüm — Aort odağı","mid_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Orta sistolik üfürüm, S1 ile S2 arasında duyulan ejecte tipi üfürümdür; sistolün ortasında yoğunlaşır."
"auto_heart_late_systolic_murmur_pulmonary","yetişkin","Geç Sistolik Üfürüm — Pulmoner odak","late_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Geç sistolik üfürüm, sistolün ikinci yarısında belirginleşir ve S2'ye doğru ilerler."
"auto_heart_late_systolic_murmur_aortic","yetişkin","Geç Sistolik Üfürüm — Aort odağı","late_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Geç sistolik üfürüm, sistolün ikinci yarısında belirginleşir ve S2'ye doğru ilerler."
"auto_heart_late_systolic_murmur_mitral","yetişkin","Geç Sistolik Üfürüm — Mitral odak / Apeks","late_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Geç sistolik üfürüm, sistolün ikinci yarısında belirginleşir ve S2'ye doğru ilerler."
"auto_heart_late_systolic_murmur_tricuspid","yetişkin","Geç Sistolik Üfürüm — Triküspit odak","late_systolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Geç sistolik üfürüm, sistolün ikinci yarısında belirginleşir ve S2'ye doğru ilerler."
"auto_heart_late_diastolic_murmur_pulmonary","yetişkin","Geç Diyastolik Üfürüm — Pulmoner odak","late_diastolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Geç diyastolik (presistolik) üfürüm, diyastolün son bölümünde, S1'den hemen önce duyulur."
"auto_heart_late_diastolic_murmur_mitral","yetişkin","Geç Diyastolik Üfürüm — Mitral odak / Apeks","late_diastolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Geç diyastolik (presistolik) üfürüm, diyastolün son bölümünde, S1'den hemen önce duyulur."
"auto_heart_late_diastolic_murmur_tricuspid","yetişkin","Geç Diyastolik Üfürüm — Triküspit odak","late_diastolic_murmur","validated","beklemede","4","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur?","Geç diyastolik (presistolik) üfürüm, diyastolün son bölümünde, S1'den hemen önce duyulur."
"auto_heart_atrial_fibrillation_mitral","yetişkin","Atriyal Fibrilasyon — Mitral odak / Apeks","atrial_fibrillation","validated","beklemede","5","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur? | Bu oskültasyon bulgusu aşağıdakilerden hangisiyle en uyumludur?","Atriyal fibrilasyonda ritim düzensiz düzensizdir; S1 şiddeti atıştan atışa değişir."
"auto_heart_atrial_fibrillation_pulmonary","yetişkin","Atriyal Fibrilasyon — Pulmoner odak","atrial_fibrillation","validated","beklemede","5","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur? | Bu oskültasyon bulgusu aşağıdakilerden hangisiyle en uyumludur?","Atriyal fibrilasyonda ritim düzensiz düzensizdir; S1 şiddeti atıştan atışa değişir."
"auto_heart_atrial_fibrillation_aortic","yetişkin","Atriyal Fibrilasyon — Aort odağı","atrial_fibrillation","validated","beklemede","5","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur? | Bu oskültasyon bulgusu aşağıdakilerden hangisiyle en uyumludur?","Atriyal fibrilasyonda ritim düzensiz düzensizdir; S1 şiddeti atıştan atışa değişir."
"auto_heart_tachycardia_mitral","yetişkin","Taşikardi — Mitral odak / Apeks","tachycardia","validated","beklemede","5","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur? | Bu oskültasyon bulgusu aşağıdakilerden hangisiyle en uyumludur?","Taşikardide kalp hızı artar; diastolik dolum süresi kısalır."
"auto_heart_tachycardia_pulmonary","yetişkin","Taşikardi — Pulmoner odak","tachycardia","validated","beklemede","5","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur? | Bu oskültasyon bulgusu aşağıdakilerden hangisiyle en uyumludur?","Taşikardide kalp hızı artar; diastolik dolum süresi kısalır."
"auto_heart_av_block_tricuspid","yetişkin","Atriyoveventriküler Blok — Triküspit odak","av_block","validated","beklemede","5","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur? | Bu oskültasyon bulgusu aşağıdakilerden hangisiyle en uyumludur?","Atriyoveventriküler iletim bozukluklarında S1 şiddeti ve atış aralıkları değişebilir."
"auto_heart_av_block_mitral","yetişkin","Atriyoveventriküler Blok — Mitral odak / Apeks","av_block","validated","beklemede","5","Duyduğunuz akustik bulgu hangisidir? | Bu vakanın ana kaydı hangi odakta alınmıştır? | Bu bulgunun siklus içindeki zamanlaması hangisidir? | Bu bulgu için hangi stetoskop kafası daha uygundur? | Bu oskültasyon bulgusu aşağıdakilerden hangisiyle en uyumludur?","Atriyoveventriküler iletim bozukluklarında S1 şiddeti ve atış aralıkları değişebilir."
"auto_lung_normal_right_upper_anterior","yetişkin","Normal Solunum Sesleri — Sağ üst bölge (anterior)","normal","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Normal (veziküler) solunum sesi yumuşak, düşük frekanslı ve süreklidir; inspirasyon ekspiryumdan uzundur."
"auto_lung_normal_left_upper_anterior","yetişkin","Normal Solunum Sesleri — Sol üst bölge (anterior)","normal","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Normal (veziküler) solunum sesi yumuşak, düşük frekanslı ve süreklidir; inspirasyon ekspiryumdan uzundur."
"auto_lung_normal_right_middle_anterior","yetişkin","Normal Solunum Sesleri — Sağ orta bölge (anterior)","normal","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Normal (veziküler) solunum sesi yumuşak, düşük frekanslı ve süreklidir; inspirasyon ekspiryumdan uzundur."
"auto_lung_normal_left_middle_anterior","yetişkin","Normal Solunum Sesleri — Sol orta bölge (anterior)","normal","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Normal (veziküler) solunum sesi yumuşak, düşük frekanslı ve süreklidir; inspirasyon ekspiryumdan uzundur."
"auto_lung_normal_right_lower_anterior","yetişkin","Normal Solunum Sesleri — Sağ alt bölge (anterior)","normal","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Normal (veziküler) solunum sesi yumuşak, düşük frekanslı ve süreklidir; inspirasyon ekspiryumdan uzundur."
"auto_lung_normal_left_lower_anterior","yetişkin","Normal Solunum Sesleri — Sol alt bölge (anterior)","normal","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Normal (veziküler) solunum sesi yumuşak, düşük frekanslı ve süreklidir; inspirasyon ekspiryumdan uzundur."
"auto_lung_wheezing_left_upper_anterior","yetişkin","Wheezing — Sol üst bölge (anterior)","wheezing","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Wheezing, ekspiryumda duyulan yüksek frekanslı, süreklilik arz eden müzikal hışıltı sesidir."
"auto_lung_wheezing_right_upper_anterior","yetişkin","Wheezing — Sağ üst bölge (anterior)","wheezing","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Wheezing, ekspiryumda duyulan yüksek frekanslı, süreklilik arz eden müzikal hışıltı sesidir."
"auto_lung_wheezing_right_lower_anterior","yetişkin","Wheezing — Sağ alt bölge (anterior)","wheezing","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Wheezing, ekspiryumda duyulan yüksek frekanslı, süreklilik arz eden müzikal hışıltı sesidir."
